Age,Age_Bin,Gender,Education,Income,Race,RaisedCity,RaisedState,RaisedZip,RaisedPlace,Latitude,Longitude,RaisedYears,CG_1018.1,CG_1021.1,CG_1023,CG_1024.1,CG_1025.1,CG_1026.1,CG_1080,CG_1081,CG_1082,CU_1019.1,CU_1020.1,CU_1027.1,CU_1060.1,CU_1078,CU_1079,PI_1035,PI_1115,PI_1160,PI_1161,PI_1162,PI_1163,PI_1164,PI_1165,PI_1167,PI_1169,PI_1170,PI_1171,PI_1172,PI_1173,PI_1174,PR_1101,PR_1102,PR_1116,PR_1117,PR_1118.1,PR_1119,PR_1120,PR_1121,PR_1122,PR_1123,PR_1124,PR_1125,PR_1175,PR_1176,PR_1177,AmazonID,ResponseID,SurveyLatitude,SurveyLongitude,CG_Min,CU_Max,Min_Max_Discard,CG_Score,CU_Score,C_Sum_Discard,Discard?,MomCity,MomState,MomCountry,DadCity,DadState,DadCountry,CurrentCity,CurrentState,CurrentZip,CurrentYears,Race_Other,RaisedOther,Languages,LanguageList
30,18-30,Female,No_degree,50000,White,Shelbyville,TN,00000,"Shelbyville, TN",35.499123,-86.451766,11,2,5,5,4,3,5,5,5,5,2,1,1,1,1,1,1,4,1,1,3,1,1,4,5,3,5,1,2,1,1,3,1,4,4,,3,1,3,5,3,5,5,1,3,4,A2A4E43SRXYOI5,R_bKNRBPx2NSKgUfj,36.06790161,-86.7193985,2,2,Consider,4.333333333,1.166666667,No,Flag,,,,,,,Wartrace,TN,37183,10,,,1,
21,18-30,Female,HS_diploma,37500,White,Eldon,MO,65026,"Eldon, MO",38.34563,-92.5751525,15,4,5,5,5,5,5,5,5,5,2,2,2,3,3,3,4,4,2,3,2,2,1,3,5,3,2,2,3,4,3,4,1,4,4,,4,4,3,4,4,4,5,2,4,4,A1L58JF3RD54QD,R_bfjaVHfFXib61Nj,34.07080078,-118.3762054,4,3,No,4.888888889,2.5,Consider,Flag,Sandpoint,ID,,Aguadilla,,Puerto Rico - PR,Los Angeles,CA,91406,2,,,1,
32,31-40,Male,HS_diploma,50000,White,Pearl River,LA,70452,"Pearl River, LA",30.3829005,-89.7617545,32,4,5,5,5,3,5,5,5,4,1,1,1,1,1,5,1,4,1,3,2,5,1,5,5,2,1,1,1,2,1,5,1,3,4,,3,3,4,4,5,4,4,1,3,4,A1RTLF0OVZI4QT,R_9oxDY3NzBvqWIS1,30.27119446,-89.77050018,3,5,Consider,4.555555556,1.666666667,No,Flag,Pearl River,LA,,Pearl River,LA,,Pearl River,LA,70452,32,,,1,
27,18-30,Female,Bachelors,87500,White,Perry Township - Lake County,OH,44081,"Perry Township - Lake County, OH",41.792906,-81.124656,18,5,5,5,5,4,5,5,5,5,3,1,1,1,1,1,4,1,1,5,3,1,1,2,5,2,1,1,5,3,2,2,1,1,2,,1,1,1,1,1,1,2,1,1,4,AA74XMNWDPBW8,R_brvINFWYn3LS1Ap,35.626297,-78.43710327,4,3,No,4.888888889,1.333333333,No,No,Painesville,OH,,Wickliffe,OH,,Richmond,VA,23222,1,,,1,
32,31-40,Male,Bachelors,50000,White,Grand Island,NY,14072,"Grand Island, NY",43.0180835,-78.960858,16,5,4,5,5,3,5,5,5,1,1,3,1,1,3,2,1,3,1,4,3,2,1,5,5,2,1,2,2,5,1,2,1,1,1,,1,3,1,1,1,1,1,1,2,2,A12U7YNO0GKNKZ,R_ahCqcmIoQw6vyHr,43.02079773,-89.36000061,1,3,Consider,4.222222222,1.833333333,No,Flag,Tonawanda,NY,,Tonawanda,NY,,Fitchburg,WI,53711,1,,,1,
30,18-30,Female,Graduate,100000,White,Rochester - Monroe County,NY,00000,"Rochester - Monroe County, NY",43.169927,-77.616891,18,5,5,5,5,5,5,5,5,5,2,2,1,1,1,4,3,1,1,2,4,1,1,5,5,3,1,2,3,4,2,2,2,2,2,,2,1,2,2,1,3,3,1,3,2,A3L48QI72KNGH1,R_2lcKmE5nsSXwBa5,40.5677948,-75.48280334,5,4,Consider,5,1.833333333,No,Flag,Buffalo,NY,,Buffalo,NY,,Bethlehem,PA,18015,8,,,1,
25,18-30,Male,Bachelors,50000,Black,West Hempstead,NY,11552,"West Hempstead, NY",40.6943655,-73.6521565,15,5,5,5,5,5,5,3,5,5,1,1,1,1,1,3,1,5,2,5,2,1,1,5,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,A1TARNH07A75CG,R_3q6LcAnKkRJNmD3,40.6578064,-73.67199707,3,3,No,4.777777778,1.333333333,No,No,Brownville,NY,,,,,West Hempstead,NY,11552,15,,,1,
30,18-30,Female,Bachelors,62500,White,Buzzards Bay,MA,02532,"Buzzards Bay, MA",41.7498495,-70.603394,23,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,2,5,1,4,5,1,1,1,5,4,1,5,1,1,1,1,1,5,4,,5,1,1,1,1,1,1,1,5,4,A1CC1ESUM2JWJ2,R_el0CcIct96GFJe5,41.76829529,-70.60070038,4,1,No,4.888888889,1,No,No,Spring,TX,,,,,Buzzards Bay,MA,02532,23,,,1,
29,18-30,Transgender (MTF),Bachelors,50000,White,Jeffersonville,IN,47130,"Jeffersonville, IN",38.3201945,-85.716152,27,5,5,5,5,5,5,5,5,5,1,1,4,2,2,1,1,4,1,4,4,3,1,4,5,4,2,1,4,4,4,3,1,4,4,,3,4,4,4,4,4,4,2,4,4,A37RHQPON2RJYL,R_6fbRcSPpUJBynJj,29.522995,-98.52700043,5,4,Consider,5,1.833333333,No,Flag,Clarksville,IN,,Shelbyville,KY,,San Antonio Northwest,TX,78229,2,,,1,
23,18-30,Female,Bachelors,12500,White,Mesa,AZ,85224,"Mesa, AZ",33.3660085,-111.7902675,21,5,5,5,3,4,5,5,5,5,2,2,1,1,2,3,2,4,1,4,4,1,1,2,5,5,2,4,1,4,1,2,4,4,4,,4,3,3,1,2,4,4,2,5,4,A37S72JHDSZJY9,R_bwvDpawDs2aCla5,35.83659363,-106.3093033,3,3,No,4.666666667,1.833333333,No,No,Dallas,TX,,Dallas,TX,,Los Alamos,NM,87544,1,,,1,
29,18-30,Male,Associates,25000,Asian,Stockton,CA,95207,"Stockton, CA",37.989371,-121.318552,29,5,5,5,5,5,5,3,5,5,2,2,3,2,2,2,2,3,2,3,3,3,2,3,5,3,3,3,2,3,1,3,3,3,2,,2,2,3,2,2,2,2,2,2,4,AGAW8RK1WQ624,R_3UFF7mY3QjS2i7b,38.56889343,-121.4383011,3,3,No,4.777777778,2.166666667,Consider,Flag,Manila,,Philippines - PH,Iloilo,,Philippines - PH,Sacramento,CA,95825,1,,,1,
29,18-30,Male,Graduate,37500,White,Sandia Knolls,NM,87047,"Sandia Knolls, NM",35.1643035,-106.3112555,17,5,5,5,3,5,5,2,5,5,5,1,1,1,2,1,1,2,1,1,3,1,1,4,5,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AT3S0S6E0M19G,R_8vJf3D2PLhkLWaV,39.19099426,-108.7093964,2,5,Consider,4.444444444,1.833333333,No,Flag,Cherry Creek,CO,,Cherry Creek,CO,,Grand Junction,CO,81507,8,,,1,
29,18-30,Male,Graduate,25000,White,Fredericksburg,VA,22407,"Fredericksburg, VA",38.2840375,-77.517121,18,5,5,5,4,5,3,4,5,4,2,1,3,1,2,3,3,4,4,4,1,4,2,4,5,3,2,1,2,4,1,4,1,4,4,,2,3,2,2,1,2,4,3,4,3,A21I4DTJGWJYQJ,R_bOPXUe7dkeeeuUZ,,,3,3,No,4.444444444,2,Consider,Flag,,,,,,,Brooklyn,NY,11238,6,,,1,
31,31-40,Male,Bachelors,1,Asian,Los Angeles,CA,90026,"Los Angeles, CA",34.0480115,-118.337733,20,4,5,3,5,3,5,5,5,5,2,2,1,1,2,2,2,2,1,2,3,1,1,3,4,2,1,1,2,1,2,1,1,1,1,,2,1,2,1,1,1,2,1,3,2,A2RBF3IIJP15IH,R_81h2g7CZUzeTQ9L,34.07640076,-118.2626038,3,2,No,4.444444444,1.666666667,No,No,Los Angeles,CA,,Los Angeles,CA,,Los Angeles,CA,90026,5,,,1,
35,31-40,Male,No_degree,12500,White,Mentor,OH,00000,"Mentor, OH",41.690159,-81.33588,8,5,1,5,5,3,5,4,5,4,2,1,1,1,1,3,2,1,1,3,2,1,1,3,5,2,1,1,2,1,1,1,1,1,1,,1,1,2,1,1,1,1,1,2,2,AFQKLIYNCVZTL,R_0f8IM8LcstMnfDv,42.29240417,-85.69080353,1,3,Consider,4.111111111,1.5,No,Flag,Keflavik,,Iceland - IS,Mayfield Heights,OH,,Kalamazoo,MI,49009,12,,"Houston, Texas",1,
21,18-30,Female,No_degree,1,White,Monticello,MN,55362,"Monticello, MN",45.296635,-93.8001035,13,5,5,5,5,4,5,3,5,5,1,1,1,1,2,3,2,3,1,1,2,2,1,5,5,2,1,1,2,5,2,2,2,5,4,3,4,3,2,4,3,3,4,2,3,4,A2UIGDOLX5RV95,R_0iXEUEfNRfS0tUN,34.53889465,-86.87329865,3,3,No,4.666666667,1.5,No,No,Biloxi,MS,,Bellbrook,OH,,Huntsville - Limestone County,AL,35613,3,,,1,
31,31-40,Female,Graduate,100000,White,Brandon,MS,39047,"Brandon, MS",32.333363,-89.974546,27,5,5,5,5,5,5,5,5,5,1,1,1,3,2,3,2,5,2,5,5,5,1,5,5,3,2,2,2,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,A2O76FE5NQWOC8,R_eKgMGdUBNmYAXAN,32.33590698,-90.15809631,5,3,No,5,1.833333333,No,No,Brandon,MS,,Pearl,MS,,Brandon,MS,39047,27,,,1,
20,18-30,Male,No_degree,37500,Hispanic,Denton,TX,76209,"Denton, TX",33.22563475,-97.12725919,20,5,5,5,5,2,5,3,5,5,2,1,2,2,2,2,2,4,1,2,2,2,2,2,5,2,1,1,2,2,2,2,2,3,3,2,2,2,1,1,2,4,3,2,4,3,A1B61S4S6W88NC,R_bdUCXAx7LJuOIMR,33.23240662,-97.1108017,2,2,Consider,4.444444444,1.833333333,No,Flag,,,,Denton,TX,,Denton,TX,76209,20,,,1,
24,18-30,Male,No_degree,87500,White,Brooklyn,NY,11215,"Brooklyn, NY",40.650954,-73.9667115,24,5,5,5,5,1,4,4,4,5,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,3,1,1,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,A3E8ULLF2XZNEU,R_eXx7GMK61lhPZ5P,,,1,2,Consider,4.222222222,1.166666667,No,Flag,Brooklyn,NY,,Brooklyn,NY,,Brooklyn,NY,11215,24,,,1,
40,31-40,Female,HS_diploma,12500,White,SeaTac,WA,00000,"SeaTac, WA",47.44339,-122.298294,19,3,5,3,5,4,4,4,5,5,1,1,1,1,1,3,1,3,1,3,4,3,1,3,5,2,1,1,2,3,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,A11UQWFUDNIHIL,R_aazcI9FD2FmXKOV,47.64759827,-122.5363998,3,3,No,4.222222222,1.333333333,No,No,SeaTac,WA,,,,,Bainbridge Island,WA,98110,4,,,1,
