Age,Age_Bin,Gender,Education,Income,Race,RaisedCity,RaisedState,RaisedZip,RaisedPlace,Latitude,Longitude,RaisedYears,PR_1156,PR_1155,PR_1154,PR_1153,PR_1152,PR_1151,PR_1151INC,PR_1150,PR_1149,PR_1148,PR_1147,PR_1146,PR_1071,PR_1070,PR_1067,PR_1066,PR_1065,PR_1048,PR_1009,PR_1007,PI_1159,PI_1158,PI_1157,PI_1094,PI_1054,PI_1049,PI_1047,PI_1040,PI_1033,PI_1030,PI_1029,CU_1079,CU_1078,CU_1060.1,CU_1027.1,CU_1020.1,CU_1019.1,CG_1082,CG_1081,CG_1080,CG_1026.1,CG_1025.1,CG_1024.1,CG_1023,CG_1021.1,CG_1018.1,AmazonID,ResponseID,LocationLatitude,LocationLongitude,CG_Min,CU_Max,Min_Max_Discard,CG_Score,CU_Score,C_Sum_Discard,Discard?,MomCity,MomState,MomCountry,DadCity,DadState,DadCountry,CurrentCity,CurrentState,CurrentZip,CurrentYears,Race_Other,RaisedOther,Languages,LanguageList
49,41-50,Female,High school graduate,Less than $12500,White,Barnum,Minnesota,55707,"Barnum, Minnesota 55707",46.503001,-92.688531,19,1,1,1,2,2,1,,1,3,1,2,2,3,2,2,2,1,2,3,2,2,1,1,1,1,1,5,2,5,4,4,1,4,1,1,1,1,5,5,4,5,5,5,5,5,5,A1LR1VZBKTV4Y1,R_Y3llMZppkvyRMyZ,38.6499939,-90.53340149,4,4,Consider,4.888888889,1.5,No,Flag,Cloquet,Minnesota,,CLoquet,Minnesota,,Saint Marie,Montana,59231,3,,,1,English
25,18-30,Female,Associates degree,$12500 - $24999,White,Como,Mississippi,38619,"Como, Mississippi 38619",34.510660,-89.939811,13,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,,1,1,1,5,1,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,5,5,4,4,3,4,5,4,5,A11S8IAAVDXCUS,R_1E5pZXZiRz6KScq,36.16589355,-86.78440094,3,1,No,4.333333333,1,No,No,Memphis,Tennessee,,Savannah,Tennessee,,Como,Mississippi,38619,13,,,1,English
25,18-30,Female,Bachelors degree,$75000 - $87499,White,Warrensburg,Missouri,64093,"Warrensburg, Missouri 64093",38.762789,-93.736049,25,5,1,4,1,4,2,,2,2,1,1,1,1,1,1,4,5,2,2,1,1,1,1,1,1,1,5,1,3,4,2,1,2,1,2,1,1,5,5,2,5,2,5,5,5,5,AIY1POSXW7GJ8,R_ROkKX78AeTqnVol,38.78619385,-93.72389984,2,2,Consider,4.333333333,1.333333333,No,Flag,Warrensburg,Missouri,,Higginsville,Missouri,,Warrensburg,Missouri,64093,25,,,1,English
45,41-50,Female,Some college no degree,$62500 - $74999,White,Bell City,Missouri,63735,"Bell City, Missouri 63735",37.023661,-89.819809,18,2,2,5,5,5,3,,5,5,2,1,1,5,5,5,4,4,2,5,5,3,2,2,1,2,2,2,2,2,4,2,5,1,1,1,1,2,5,5,5,5,5,5,5,5,5,A4M2EA2J10E7K,R_2fB43ih61ooU4so,33.83120728,-117.8672943,5,5,Consider,5,1.833333333,No,Flag,Bell City,Missouri,,Advance,Missouri,,Anaheim,California,92805,3,,,1,English
35,31-40,Male,Bachelors degree,$50000 - $62499,White,Billings,Montana,59105,"Billings, Montana 59105",45.783285,-108.500690,35,1,1,2,3,4,5,,1,5,5,1,5,2,1,2,1,3,4,1,2,2,2,3,1,1,5,2,2,3,4,2,3,1,1,1,1,1,3,5,5,5,4,5,5,5,5,A2FSIGOW8XAQJU,R_27qAuNAGsBKhlmJ,45.87049866,-108.4742966,3,3,No,4.666666667,1.333333333,No,No,Billings,Montana,,Billings,Montana,,Billings,Montana,59105,35,,,1,English
29,18-30,Female,Some college no degree,$37500 - $49999,White,Helena,Montana,59601,"Helena, Montana 59601",46.588370,-112.024505,29,2,1,2,3,3,5,,1,5,4,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,5,5,3,5,3,5,5,5,5,AMWORXZGGWQJ1,R_2E9SzIRk3TfNkmt,46.51719666,-112.1211014,3,3,No,4.555555556,1.333333333,No,No,Alhambra,California,,Lyle,Washington,,Helena,Montana,59601,29,,,1,English
32,31-40,Female,Associates degree,$25000 - $37499,White,Glendive,Montana,59330,"Glendive, Montana 59330",47.106401,-104.710793,22,3,3,2,1,1,1,1,1,1,2,1,1,1,1,1,2,,1,1,1,1,1,2,2,2,1,1,3,2,3,1,1,1,1,1,1,1,4,5,4,5,4,4,2,5,5,A1SVJ3W7SDH63H,R_3rPzV0CUMYapNw8,46.98460388,-114.1212997,2,1,Consider,4.222222222,1,No,Flag,Jamestown,North Dakota,,Glendive,Montana,,Missoula,Montana,59801,7,,,1,English
21,18-30,Female,Some college no degree,$12500 - $24999,White,Kalispell,Montana,59901,"Kalispell, Montana 59901",48.191988,-114.316813,14,5,5,3,5,5,5,,5,5,5,3,5,3,3,3,5,5,3,5,4,1,1,2,2,1,5,4,5,5,5,5,2,2,2,2,1,1,5,5,5,5,5,5,5,5,5,APGNLNDUUW0Q7,R_2arTNbzKypVz0jI,48.19869995,-114.3856964,5,2,No,5,1.666666667,No,No,Omaha,Nebraska,,Omaha,Nebraska,,Kalispell,Montana,59901,14,,,1,English
66,61_up,Male,Graduate degree (masters doctorate etc.),$37500 - $49999,White,"Berlin, NH",New Hampshire,03570,"Berlin, NH, New Hampshire 03570",44.502699,-71.186430,22,4,4,3,1,5,3,,3,3,4,1,1,3,2,1,2,5,1,2,2,4,2,4,3,1,2,1,2,5,4,3,2,1,2,2,1,1,5,5,4,5,5,5,5,5,5,A3A2IFA1WCMOQT,R_1JF3Ivi9l9gTOE4,39.67340088,-75.7052002,4,2,No,4.888888889,1.5,No,No,Berlin,New Hampshire,,Berlin,New Hampshire,,Chapel Hill,North Carolina,27517,5,,,1,English
44,41-50,Female,Bachelors degree,$100000 or more,White,Peterborough,New Hampshire,03458,"Peterborough, New Hampshire 03458",42.870604,-71.951674,19,1,2,1,2,2,5,,4,3,4,2,5,1,1,1,2,4,4,1,1,1,1,1,4,1,1,3,1,4,5,5,1,1,1,1,1,1,5,5,5,5,4,5,5,5,5,AYCHPTQRYDT7G,R_1QivVGugeqMjwn5,38,-97,4,1,No,4.888888889,1,No,No,Binghamton,New York,,Greenville,New Hampshire,,Hancock,New Hampshire,3449,25,,,1,English
42,41-50,Female,Bachelors degree,$12500 - $24999,White,Medford,New Jersey,08055,"Medford, New Jersey 08055",39.866182,-74.839016,42,1,1,1,1,3,1,1,5,5,1,1,2,3,3,3,5,,5,5,1,1,1,5,5,3,1,5,5,5,5,5,1,1,1,1,1,1,5,5,3,5,5,5,3,5,5,A2R8DAX6L4RWDZ,R_3hs7u5jaSQh3iH0,39.87409973,-74.80899811,3,1,No,4.555555556,1,No,No,Philedelphia,Pennsylvania,,Philedelphia,Pennsylvania,,Medford,New Jersey,8055,42,,,1,english
31,31-40,Female,Bachelors degree,$62500 - $74999,Black/African American,asbury park,New Jersey,07712,"asbury park, New Jersey 07712",40.220390,-74.012081,31,1,1,3,1,4,1,,2,3,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,5,2,1,1,1,2,1,1,4,5,5,5,1,2,5,5,5,A1FR0MUY43CT9Y,R_21FX7ljWPJlxrRt,40.21820068,-74.07099915,1,2,Consider,4.111111111,1.166666667,No,Flag,atlanta,Georgia,,camden,New Jersey,,asbury park,New Jersey,7712,31,,,1,english
35,31-40,Male,Graduate degree (masters doctorate etc.),$100000 or more,White,Ocean City,New Jersey,08226,"Ocean City, New Jersey 08226",39.277615,-74.574600,20,1,1,4,4,5,5,,1,5,5,1,3,2,3,1,4,2,3,2,3,5,3,4,1,1,1,2,2,1,5,4,2,1,1,1,1,1,5,5,5,5,5,5,4,5,5,A39U5JO7ZEBS6T,R_1lcUdA6RdOvZU7o,38.914505,-94.30059814,4,2,No,4.888888889,1.166666667,No,No,Trenton,New Jersey,,Trenton,New Jersey,,Lee's Summit,Missouri,64086,4,,,1,English
28,18-30,Male,Bachelors degree,$62500 - $74999,White,Keyport,New Jersey,07735,"Keyport, New Jersey 07735",40.433163,-74.199588,18,3,2,2,2,1,1,,2,5,4,4,2,3,2,2,4,4,5,2,2,2,2,1,1,4,1,3,3,5,4,4,2,4,1,1,1,2,5,5,5,5,5,5,5,5,5,A1OGHCUM6PPN33,R_3FWgVKJZGcNE6xU,40.39649963,-74.10749817,5,4,Consider,5,1.833333333,No,Flag,Keasburg,New Jersey,,Keyport,New Jersey,,Hazlet,New Jersey,7730,6,,,1,English
44,41-50,Male,Some college no degree,$100000 or more,White,Oradell,New Jersey,07649,"Oradell, New Jersey 07649",40.958709,-74.036806,18,4,4,4,4,5,5,5,2,4,3,2,2,2,1,1,4,,1,1,1,3,2,2,2,2,2,2,2,3,3,1,2,2,1,3,2,1,5,5,4,5,4,5,5,5,5,AFDC9A6Z60W2Z,R_3qkckX6PtQOwEpM,40.87690735,-74.14330292,4,3,No,4.777777778,1.833333333,No,No,Hawthorne,New Jersey,,West New York,New Jersey,,Hewitt,New Jersey,7421,15,,,1,English
31,31-40,Female,Graduate degree (masters doctorate etc.),$12500 - $24999,White,Egg Harbor City,New Jersey,00000,"Egg Harbor City, New Jersey",39.528728,-74.647936,16,1,1,4,4,4,2,,5,5,3,1,4,1,1,1,3,5,5,1,1,4,4,5,1,1,1,4,1,2,5,5,5,1,1,1,1,2,5,5,5,5,4,5,3,5,5,A304IRIHFAI41G,R_1KjLEbIsIjVYJwI,39.48989868,-74.47730255,3,5,Consider,4.666666667,1.833333333,No,Flag,Atlantic City,New Jersey,,Philadelphia,Pennsylvania,,Mays Landing,New Jersey,8215,3,,,1,"English, French"
25,18-30,Female,Associates degree,$37500 - $49999,White,Gloucester City,New Jersey,08030,"Gloucester City, New Jersey 08030",39.891779,-75.116286,15,1,3,1,3,3,3,4,1,2,3,1,5,3,1,2,5,,2,2,3,5,2,5,1,1,1,1,3,5,4,1,4,1,1,2,1,2,4,5,5,5,4,5,5,5,5,A2YO837C0O1E91,R_ulEhtNB5a0cswN3,39.82400513,-75.13179779,4,4,Consider,4.777777778,1.833333333,No,Flag,Columbus,Georgia,,Woodbury,New Jersey,,Clarksboro,New Jersey,8020,10,,,1,English
22,18-30,Female,High school graduate,Less than $12500,White,Salem,New Jersey,08079,"Salem, New Jersey 08079",39.571779,-75.467142,13,3,4,3,3,3,3,3,1,5,1,1,2,3,2,2,1,,1,2,1,5,1,5,1,2,2,5,1,5,4,4,2,1,3,1,3,1,4,5,4,5,3,5,4,5,4,A3MLN9LSE060F3,R_1DoRSmpFn5saijH,47.30780029,-122.2642975,3,3,No,4.333333333,1.833333333,No,No,Elmer,New Jersey,,Alloway,New Jersey,,Auburn,Washington,98092,4,,,1,English
58,51-60,Female,Some college no degree,$12500 - $24999,White,Bricktown,New Jersey,08723,"Bricktown, New Jersey 08723",40.050897,-74.135740,9,1,1,1,5,1,1,,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,5,3,5,5,5,5,AWMKPLG0SXNOW,R_3pfBwV8HZkSyWfF,36.74650574,-108.3715973,3,1,No,4.555555556,1,No,No,Morristown,New Jersey,,New Orleans,Louisiana,,Bosque,New Mexico,87006,4,,,1,English
26,18-30,Female,Graduate degree (masters doctorate etc.),$37500 - $49999,White,South Brunswick,New Jersey,08810,"South Brunswick, New Jersey 08810",40.374933,-74.493591,8,3,2,1,2,3,2,1,2,4,3,3,5,2,1,2,4,,2,2,2,5,1,5,1,1,1,1,2,4,5,3,1,1,2,2,1,1,4,5,5,5,4,3,5,4,4,A3ERPZYSKSSGJ3,R_2dfQv2AbDbJfNNi,40.07069397,-74.83319855,3,2,No,4.333333333,1.333333333,No,No,Pitman,New Jersey,,Pitman,New Jersey,,Burlington,New Jersey,8016,2,,"North Brunswick, NJ",1,English
45,41-50,Female,Some college no degree,$25000 - $37499,White,Scotia,New Mexico,12302,"Scotia, New Mexico 12302",42.864990,-73.959494,20,3,3,3,2,5,5,,2,4,3,2,4,1,1,1,3,3,1,1,1,2,1,1,1,1,1,1,2,4,3,2,3,2,1,1,1,1,4,5,3,5,3,5,3,5,5,A1V5VJE32G7HDE,R_3KpVGP9qlRUV2kb,41.53799438,-74.2845993,3,3,No,4.222222222,1.5,No,No,Schenectady,New York,,Schenectady,New York,,Pine Bush,New York,12566,20,,,1,English
34,31-40,Female,Bachelors degree,$50000 - $62499,White,New York,New York,10011,"New York, New York 10011",40.746496,-74.009447,34,3,1,1,1,1,2,,4,3,1,1,1,1,1,1,1,5,2,2,1,1,1,1,1,1,3,4,3,1,5,3,2,4,1,1,1,1,5,5,5,5,5,5,5,5,5,A26U4IKXMXT0ZA,R_1FG5U9CobfzgJaU,41.68159485,-72.94049835,5,4,Consider,5,1.666666667,No,Flag,New York,New York,,New York,New York,,New York,New York,10011,34,,,1,English
36,31-40,Female,High school graduate,$62500 - $74999,White,Brighton,New York,14618,"Brighton, New York 14618",43.115603,-77.556209,30,2,2,3,1,2,1,3,5,5,2,3,1,1,2,2,5,,1,3,2,2,2,2,3,1,3,2,5,1,5,3,3,2,2,1,2,2,4,5,5,5,3,5,5,5,4,,R_2PuHFEogPhmw6XT,,,3,3,No,4.555555556,2,Consider,Flag,Lawrence,New York,,Brooklyn,New York,,Henrietta,New York,14467,5,,,1,English
32,31-40,Male,High school graduate,$25000 - $37499,White,binghamton,New York,13901,"binghamton, New York 13901",42.098686,-75.917973,28,1,2,3,2,5,4,3,2,3,4,3,3,2,2,3,2,,2,4,3,1,2,2,4,5,1,2,3,5,3,2,3,3,1,1,3,1,4,5,4,5,5,5,4,5,5,AI73488LTDOU0,R_uaW1mSETQ9Rnj8d,42.17939758,-75.94909668,4,3,No,4.666666667,2,Consider,Flag,binghamton ,New York,,binghamton,New York,,binghamton,New York,13901,28,,,1,english
33,31-40,Female,Bachelors degree,$100000 or more,White,Yonkers,New York,10710,"Yonkers, New York 10710",40.967508,-73.847787,27,4,2,3,2,3,2,,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,1,4,1,2,1,1,1,2,1,1,4,5,4,4,1,4,5,5,5,AKHH4W14A6AN9,R_ZaGJUCzLsqMoXRf,41.46730042,-73.38829803,1,2,Consider,4.111111111,1.166666667,No,Flag,Bronx,New York,,Yonkers,New York,,Brookfield,Connecticut,6804,7,,,1,English
24,18-30,Male,Some college no degree,$37500 - $49999,Hispanic/Latino/Latina,ny,New York,00000,"ny, New York",40.712783,-74.005941,24,3,2,2,1,4,2,2,3,4,1,3,1,2,1,2,2,,4,2,1,2,1,1,1,1,1,2,3,2,4,4,2,3,2,1,1,3,5,5,3,5,4,5,5,5,5,AU8EXSBL2KOH1,R_32WPDRknxckIr05,40.81950378,-73.92089844,3,3,No,4.666666667,2,Consider,Flag,ny,New York,,ny,New York,,ny,New York,0,24,,,1,english
23,18-30,Male,Bachelors degree,$50000 - $62499,White,Cortland,New York,13045,"Cortland, New York 13045",42.601181,-76.180484,23,3,4,3,4,4,5,3,2,4,4,2,2,2,3,2,2,,3,2,2,2,2,5,1,2,2,4,2,5,5,3,3,2,2,2,2,2,5,4,5,5,4,5,3,5,4,A1DY4DM16TBFPL,R_2bD7HjiqxMHiuuB,42.61779785,-76.19259644,3,3,No,4.444444444,2.166666667,Consider,Flag,Cortland,New York,,Fulton,New York,,Cortland,New York,13045,23,,,1,english
52,51-60,Male,Bachelors degree,$87500 - $99999,White,Seaford,New York,11783,"Seaford, New York 11783",40.665934,-73.488180,19,2,2,2,3,2,2,,2,4,5,3,5,1,2,2,2,4,2,2,2,2,1,2,1,1,2,1,2,2,4,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,A2E9XAPF0M7Y4F,R_3IWUR0BNGzp574e,40.72279358,-73.51699829,5,5,Consider,5,1.666666667,No,Flag,NYC,New York,,NYC,New York,,Bethpage,New York,11714,17,,,2,"English, Spanish"
36,31-40,Female,Some college no degree,$25000 - $37499,Black/African American,Brooklyn,New York,11212,"Brooklyn, New York 11212",40.663918,-73.915406,19,1,1,1,2,1,5,,2,4,1,1,2,1,1,1,5,5,3,1,1,5,1,1,1,1,1,2,2,3,1,3,1,1,1,1,1,1,4,5,5,5,2,5,5,5,3,,R_VQec1lafT89yMAp,,,2,1,Consider,4.333333333,1,No,Flag,Brooklyn,New York,,Detroit,Michigan,,Far Rockaway,New York,11691,5,,,1,English
36,31-40,Female,Some college no degree,$25000 - $37499,Black/African American,Brooklyn,New York,11212,"Brooklyn, New York 11212",40.663918,-73.915406,19,1,1,1,2,1,2,,2,5,5,5,4,1,1,1,3,4,3,1,1,5,1,1,1,1,1,2,2,4,2,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,A3JY96IC1XOEFE,R_2aCPpwHSW7u3abh,40.76249695,-73.95030212,5,1,No,5,1,No,No,Brooklyn,New York,,Detroit,Michigan,,Far Rockaway,New York,11691,5,,,1,English
29,18-30,Male,Bachelors degree,$50000 - $62499,White,Central Square,New York,13036,"Central Square, New York 13036",43.286735,-76.146035,18,1,1,1,1,1,1,,1,3,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,1,1,1,1,2,4,5,5,5,3,4,3,5,5,A2V28W4THGYYTQ,R_xhJJebGmIUIUFb3,43.31500244,-76.04689789,3,2,No,4.333333333,1.166666667,No,No,New York,New York,,New York,New York,,Central Square,New York,13036,29,,,1,English
50,41-50,Male,Graduate degree (masters doctorate etc.),$37500 - $49999,White,New Hampton,New York,10958,"New Hampton, New York 10958",41.374008,-74.434976,18,1,1,1,5,5,3,,1,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,5,2,3,1,1,1,1,1,1,5,5,3,5,5,5,5,5,5,A264DM5HSNI3MU,R_3GjsjVk5dibUnnT,36.34570313,-94.25140381,3,1,No,4.777777778,1,No,No,Brooklyn,New York,,New York,New York,,Rogers,Arkansas,72758,5,,,2,"English, French"
24,18-30,Male,Graduate degree (masters doctorate etc.),$50000 - $62499,White,Woodmere,New York,11598,"Woodmere, New York 11598",40.632048,-73.712631,16,1,1,5,1,3,2,,1,5,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,4,5,5,2,1,1,5,1,1,1,5,5,3,5,2,5,5,5,5,AGS3G0AT438E7,R_10obi3shrFwfMD6,40.70010376,-73.6753006,2,5,Consider,4.444444444,1.666666667,No,Flag,Corona,New York,,East New York,New York,,Woodmere,New York,11598,16,,,1,English
25,18-30,Female,Bachelors degree,$75000 - $87499,Black/African American,New York,New York,10023,"New York, New York 10023",40.776905,-73.980064,14,2,1,2,1,5,1,,1,1,1,1,1,1,2,1,4,1,2,1,1,2,1,5,1,1,1,5,3,3,2,2,5,1,1,1,1,2,3,5,5,5,5,5,5,5,5,A1F669OTXWIJW0,R_2uR0hobMSj1wRaK,40.792099,-73.94390106,3,5,Consider,4.777777778,1.833333333,No,Flag,Kingston,New York,,Kingston,New York,,New York,New York,10023,14,,,1,English
29,18-30,Male,High school graduate,$25000 - $37499,White,Brooklyn,New York,11223,"Brooklyn, New York 11223",40.600923,-73.977126,12,1,1,2,1,4,1,1,1,4,1,1,1,1,1,1,2,,2,1,1,1,1,1,1,1,1,2,2,1,1,4,4,2,1,1,1,1,5,5,4,5,3,4,5,5,5,ARVXIBUCA8WDZ,R_2sXwIjyMxpnwGdq,40.59750366,-73.99790192,3,4,Consider,4.555555556,1.666666667,No,Flag,Brooklyn,New York,,Brooklyn,New York,,Brooklyn,New York,11214,19,,,1,English
36,31-40,Transgender (FTM),Graduate degree (masters doctorate etc.),$25000 - $37499,White,Ithaca,New York,00000,"Ithaca, New York",42.443961,-76.501880,6,1,2,1,1,2,2,,1,1,3,1,2,1,2,1,3,1,1,1,2,2,2,2,2,3,5,1,2,3,2,1,4,1,2,1,1,2,4,5,4,5,5,2,4,5,3,A11THU6UGG3THR,R_129EexdjkS1z7KG,42.64990234,-76.98789978,2,4,Consider,4.111111111,1.833333333,No,Flag,Rochester,New York,,Syracuse,New York,,Geneva,New York,14456,10,,"Rochester, NY; Buffalo, NY; Canandaigua, NY.",2,"English, German"
24,18-30,Female,High school graduate,$37500 - $49999,White,amenia,New York,00000,"amenia, New York",41.849259,-73.556791,5,3,1,2,1,3,1,1,1,4,1,1,1,4,3,4,2,,2,1,2,2,1,2,1,1,1,2,4,5,5,2,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,A1WPV6J39K5Z2K,R_UzqhijzTTrXopRT,38,-97,5,2,No,5,1.166666667,No,No,New York City,New York,,New York City,New York,,amma,West Virginia,25005,8,,"Canaan NY, Pratsville NY, Hobart NY, Norwich NY, Columbia ME",1,english
41,41-50,Male,Bachelors degree,$25000 - $37499,White,denver,North Carolina,28037,"denver, North Carolina 28037",35.531657,-81.029579,40,4,2,2,2,2,2,,3,3,2,3,3,5,4,5,3,3,4,4,5,1,2,2,3,1,5,4,3,5,5,4,2,2,1,2,1,2,4,5,4,5,5,5,5,5,5,ABQ65VUI4C9RK,R_2VCoqxkzhno5aZS,35.50639343,-81.03710175,4,2,No,4.777777778,1.666666667,No,No,Lincolnton,North Carolina,,Newton,North Carolina,,Denver,North Carolina,28037,40,,,1,english
40,31-40,Female,Some college no degree,$25000 - $37499,White,Scotland Neck,North Carolina,27874,"Scotland Neck, North Carolina 27874",36.129600,-77.420247,30,1,1,1,2,4,4,3,4,2,4,1,4,4,5,5,2,,4,5,4,4,2,4,1,1,1,4,5,1,4,4,5,1,1,1,1,2,4,5,4,5,5,5,5,5,5,A8SBGBN7FVRFG,R_25XeM68eo57C6gi,35.90699768,-77.54239655,4,5,Consider,4.777777778,1.833333333,No,Flag,Trenton,New Jersey,,Stratford,Connecticut,,Tarboro,North Carolina,27886,6,,,1,English
43,41-50,Male,Bachelors degree,$12500 - $24999,White,Kinston,North Carolina,28501,"Kinston, North Carolina 28501",35.262663,-77.581635,27,2,2,1,1,2,2,1,1,2,2,1,1,5,5,5,3,,3,5,5,2,2,5,1,2,1,5,4,4,5,3,1,1,1,1,1,1,4,5,5,5,5,5,5,5,4,A1OZL7QG65HABF,R_1do9oYnJv5skbIL,35.02459717,-78.99680328,4,1,No,4.777777778,1,No,No,Sacramento,California,,Cleveland,Ohio,,Fayetteville,North Carolina,28304,1,,,1,English
37,31-40,Female,Associates degree,$25000 - $37499,Black/African American,Akron,Ohio,44313,"Akron, Ohio 44313",41.142698,-81.570610,33,2,4,5,4,2,5,,5,5,5,5,5,1,4,1,5,1,1,5,1,1,1,1,5,1,1,5,2,1,5,5,1,1,1,1,1,5,1,5,5,5,1,5,5,5,5,A3BTEZBYTU9M1B,R_vYpy6OIJFhfstK9,41.02319336,-81.62799835,1,5,Consider,4.111111111,1.666666667,No,Flag,Riverside,California,,Popularville,Mississippi,,Akron,Ohio,44313,33,,,1,English
33,31-40,Male,Some college no degree,$37500 - $49999,White,Cleveland,Ohio,44134,"Cleveland, Ohio 44134",41.391641,-81.702104,28,3,3,5,3,3,4,3,4,4,3,3,4,1,1,1,4,,5,1,1,2,2,5,2,4,5,5,2,3,4,5,3,2,2,3,3,2,5,5,5,5,5,5,5,5,5,A2VBSFSJXLZZ7A,R_3OogobFI3C0Di8C,39.96710205,-83.76940155,5,3,No,5,2.5,Consider,Flag,cleveland,Ohio,,Cleveland,Ohio,,Springfield,Ohio,45505,5,,,1,English
65,61_up,Female,High school graduate,$100000 or more,White,Akron,Ohio,44619,"Akron, Ohio 44619",40.889017,-81.546393,27,2,3,1,1,4,4,,1,4,4,1,1,2,2,2,4,1,1,3,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,4,5,2,5,5,5,5,5,3,A11G1TGXX3YS24,R_2V3fbY8ZPRhsLtk,27.915802,-82.22899628,2,2,Consider,4.333333333,1.166666667,No,Flag,akron,Ohio,,akron,Ohio,,tampa,Florida,34555,15,,,1,english
58,51-60,Female,Bachelors degree,$75000 - $87499,White,Butler,Ohio,44822,"Butler, Ohio 44822",40.588393,-82.424886,27,4,1,4,4,4,5,,1,5,5,1,4,1,1,1,4,1,2,2,2,2,1,1,1,2,5,2,2,4,4,1,3,1,1,1,1,1,5,5,5,5,5,5,5,5,5,A3QR2AJVELBX7W,R_1JKQxA156lXxdwS,47.17909241,-123.6060944,5,3,No,5,1.333333333,No,No,Bellville,Ohio,,Butler,Ohio,,Glide,Oregon,97443,2,,,1,English
30,18-30,Female,Associates degree,$12500 - $24999,White,Bradford,Ohio,45308,"Bradford, Ohio 45308",40.132271,-84.430783,25,1,1,1,2,2,1,,3,3,1,1,1,2,5,5,3,5,4,5,3,1,1,1,1,1,1,5,4,1,5,5,1,1,1,4,1,1,5,5,5,5,4,5,5,5,5,A32PS32SCBAPF9,R_b13aeOZs4JOTH7H,40.03579712,-84.17749786,4,4,Consider,4.888888889,1.5,No,Flag,Versailes,Ohio,,Versailles,Ohio,,Bradford,Ohio,45308,25,,,1,English
28,18-30,Male,Associates degree,$25000 - $37499,White,Canton,Ohio,44709,"Canton, Ohio 44709",40.843714,-81.389429,22,2,2,3,3,4,4,5,1,4,4,2,2,1,1,1,2,,1,1,1,2,1,1,2,1,1,2,2,4,5,3,2,1,1,1,1,2,4,5,4,5,4,5,5,5,5,A1NOBMZZ0XZMQC,R_RKLFiwQpOvoep2N,40.87420654,-81.23259735,4,2,No,4.666666667,1.333333333,No,No,Canton,Ohio,,Canton,Ohio,,Canton,Ohio,44709,4,,,1,English
34,31-40,Female,High school graduate,Less than $12500,White,Tallmadge,Ohio,44278,"Tallmadge, Ohio 44278",41.101445,-81.441779,21,2,1,4,3,5,3,,2,3,3,1,3,2,2,2,3,2,3,2,1,1,1,5,1,2,3,4,2,3,4,5,1,1,1,1,2,1,5,5,4,5,3,5,4,5,5,A2CJY4787IR70K,R_vdi182jm9U00esh,41.14819336,-81.47360229,3,2,No,4.555555556,1.166666667,No,No,Stow,Ohio,,Akron,Ohio,,Tallmadge,Ohio,44278,21,,,1,English
25,18-30,Male,Associates degree,$12500 - $24999,White,Cleveland,Ohio,44135,"Cleveland, Ohio 44135",41.425548,-81.827901,20,1,1,1,1,1,3,2,2,3,2,1,3,1,3,2,1,,1,4,1,1,1,1,1,1,3,1,2,3,4,4,1,1,1,1,1,1,5,5,4,5,4,5,5,5,4,A3HKVC1X7EMZU,R_1QFsrRpvkEht3rO,45.83990479,-119.7005997,4,1,No,4.666666667,1,No,No,Cleveland,Ohio,,Cleveland,Ohio,,Cleveland,Ohio,44135,20,,,1,English
28,18-30,Male,Some college no degree,$62500 - $74999,White,Hamilton,Ohio,45015,"Hamilton, Ohio 45015",39.371332,-84.535324,20,4,3,1,3,3,3,4,1,3,3,2,3,2,2,2,2,,1,1,1,1,1,5,1,1,2,1,2,5,4,1,2,1,1,1,2,3,5,5,3,4,5,5,4,5,5,ANGB67ECCF73,R_3ewpYYYseZoh3CC,30.53819275,-87.21230316,3,3,No,4.555555556,1.666666667,No,No,Hamilton,Ohio,,Jupiter Beach,Florida,,Pensacola,Florida,32514,4,,,2,"English, Latin"
63,61_up,Female,Graduate degree (masters doctorate etc.),$50000 - $62499,White,Cincinnati,Ohio,45212,"Cincinnati, Ohio 45212",39.162977,-84.454021,18,5,4,4,4,5,5,,2,5,3,2,2,4,3,3,4,2,1,4,4,3,2,2,1,2,2,1,2,2,2,1,3,1,1,1,1,2,5,5,5,5,5,5,4,5,4,A3CVX7GHF3B65Q,R_1Cke9QxcNRBMD6C,39.206604,-84.39640045,4,3,No,4.777777778,1.5,No,No,"Leicester, England",Outside the United States,England,"Mobile, AL",Alabama,,Cincinnati,Ohio,45236,2,,,1,English
